iter	Passed	Remaining
414	2918	4114
415	2923	4104
416	2929	4095
417	2935	4086
418	2940	4077
419	2946	4068
420	2951	4059
421	2956	4050
422	2962	4041
423	2968	4032
424	2973	4022
425	2980	4016
426	2986	4007
427	2992	3998
428	3000	3993
429	3005	3984
430	3011	3976
431	3020	3971
432	3026	3962
433	3033	3955
434	3040	3948
435	3048	3943
436	3054	3934
437	3061	3927
438	3066	3918
439	3071	3909
440	3078	3902
441	3083	3893
442	3089	3884
443	3095	3876
444	3101	3867
445	3107	3859
446	3112	3850
447	3117	3841
448	3123	3833
449	3129	3824
450	3134	3815
451	3140	3807
452	3146	3799
453	3151	3790
454	3153	3777
455	3159	3769
456	3164	3760
457	3170	3752
458	3176	3743
459	3181	3734
460	3188	3727
461	3193	3718
462	3198	3710
463	3204	3702
464	3213	3696
465	3219	3689
466	3227	3683
467	3235	3678
468	3241	3670
469	3251	3666
470	3257	3659
471	3263	3650
472	3269	3642
473	3274	3634
474	3280	3625
475	3286	3618
476	3292	3609
477	3297	3601
478	3304	3593
479	3309	3585
480	3315	3577
481	3320	3569
482	3326	3560
483	3332	3552
484	3337	3544
485	3342	3535
486	3349	3527
487	3354	3519
488	3359	3510
489	3365	3503
490	3371	3494
491	3376	3486
492	3383	3479
493	3388	3470
494	3393	3462
495	3402	3457
496	3408	3449
497	3415	3442
498	3422	3436
499	3430	3430
500	3436	3422
501	3442	3414
502	3448	3407
503	3453	3398
504	3460	3391
505	3465	3383
506	3470	3375
507	3478	3368
508	3483	3360
509	3489	3352
510	3495	3345
511	3501	3336
512	3506	3329
513	3513	3321
514	3518	3313
515	3524	3305
516	3529	3297
517	3534	3289
518	3541	3282
519	3546	3273
520	3551	3265
521	3558	3258
522	3563	3249
523	3568	3241
524	3574	3234
525	3580	3226
526	3585	3218
527	3591	3210
528	3597	3202
529	3604	3196
530	3611	3190
531	3616	3181
532	3623	3174
533	3631	3168
534	3639	3163
535	3644	3155
536	3650	3147
537	3656	3140
538	3661	3131
539	3668	3124
540	3673	3116
541	3679	3108
